2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Hackney 029B,E01001728,1193,27,166,0.025423729,0.156308851
Hackney 029C,E01001822,1232,44,64,0.041431262,0.060263653
Hackney 029D,E01001827,1224,45,81,0.042372881,0.076271186
Hammersmith and Fulham 001A,E01001874,1722,78,198,0.073446328,0.186440678
Hammersmith and Fulham 001B,E01001875,1325,16,64,0.015065913,0.060263653
Hammersmith and Fulham 001C,E01001876,1683,31,245,0.029190207,0.230696798
Hammersmith and Fulham 001D,E01001877,1041,44,64,0.041431262,0.060263653
Hammersmith and Fulham 001E,E01001878,1174,25,91,0.02354049,0.085687382
Hammersmith and Fulham 002A,E01001955,1289,32,115,0.030131827,0.108286252
Hammersmith and Fulham 002B,E01001957,1171,17,101,0.016007533,0.095103578
Hammersmith and Fulham 002C,E01001958,1168,28,79,0.026365348,0.074387947
Hammersmith and Fulham 002D,E01001961,1056,19,87,0.017890772,0.081920904
Hammersmith and Fulham 003A,E01001954,1153,74,90,0.069679849,0.084745763
Hammersmith and Fulham 003B,E01001956,1206,52,79,0.048964218,0.074387947
Hammersmith and Fulham 003C,E01001959,1242,30,72,0.028248588,0.06779661
Hammersmith and Fulham 003D,E01001960,1557,116,133,0.109227872,0.125235405
Hammersmith and Fulham 004A,E01001943,1653,89,169,0.083804143,0.15913371
Hammersmith and Fulham 004B,E01001944,1278,36,107,0.033898305,0.100753296
Hammersmith and Fulham 004C,E01001945,1381,86,152,0.080979284,0.143126177
Hammersmith and Fulham 004D,E01001946,1316,61,137,0.057438795,0.129001883
Hammersmith and Fulham 005A,E01001862,1434,80,144,0.075329567,0.13559322
Hammersmith and Fulham 005B,E01001940,1291,76,115,0.071563089,0.108286252
Hammersmith and Fulham 005C,E01001941,1491,92,176,0.086629002,0.165725047
Hammersmith and Fulham 005D,E01001942,1553,104,154,0.097928437,0.145009416
Hammersmith and Fulham 006A,E01001858,1441,102,115,0.096045198,0.108286252
Hammersmith and Fulham 006B,E01001860,1416,53,154,0.049905838,0.145009416
Hammersmith and Fulham 006C,E01001861,1179,44,94,0.041431262,0.088512241
Hammersmith and Fulham 006D,E01001863,1216,98,92,0.092278719,0.086629002
Hammersmith and Fulham 006E,E01001864,1264,91,91,0.085687382,0.085687382
Hammersmith and Fulham 007A,E01001852,1595,84,206,0.079096045,0.193973635
Hammersmith and Fulham 007B,E01001853,1245,80,118,0.075329567,0.111111111
Hammersmith and Fulham 007C,E01001854,1458,62,143,0.058380414,0.134651601
Hammersmith and Fulham 007D,E01001857,1185,35,108,0.032956685,0.101694915
Hammersmith and Fulham 008A,E01001859,1945,112,141,0.105461394,0.132768362
Hammersmith and Fulham 008B,E01001865,1356,109,119,0.102636535,0.112052731
Hammersmith and Fulham 008C,E01001927,1105,82,83,0.077212806,0.078154426
Hammersmith and Fulham 008D,E01001930,1392,68,95,0.064030132,0.089453861
Hammersmith and Fulham 009A,E01001895,1258,73,123,0.06873823,0.115819209
Hammersmith and Fulham 009B,E01001896,1295,93,104,0.087570621,0.097928437
Hammersmith and Fulham 009C,E01001897,1088,65,110,0.061205273,0.103578154
Hammersmith and Fulham 009D,E01001929,979,71,79,0.066854991,0.074387947
Hammersmith and Fulham 010A,E01001851,1267,92,121,0.086629002,0.11393597
Hammersmith and Fulham 010B,E01001855,1452,120,115,0.11299435,0.108286252
Hammersmith and Fulham 010C,E01001856,1316,51,138,0.048022599,0.129943503
Hammersmith and Fulham 010D,E01001869,992,47,86,0.044256121,0.080979284
Hammersmith and Fulham 010E,E01001873,1175,70,120,0.065913371,0.11299435
Hammersmith and Fulham 011A,E01001928,1289,73,100,0.06873823,0.094161959
Hammersmith and Fulham 011B,E01001931,1153,55,94,0.051789077,0.088512241
Hammersmith and Fulham 011C,E01001932,1355,87,137,0.081920904,0.129001883
Hammersmith and Fulham 011D,E01001933,1037,42,95,0.039548023,0.089453861
Hammersmith and Fulham 012A,E01001866,1307,62,103,0.058380414,0.096986817
