2011 super output area - lower layer,mnemonic,All categories: Method of travel to work,Bicycle,On foot,per_Bicycle,per_Walk
Bexley 002D,E01000464,1034,9,38,0.008474576,0.035781544
Bexley 002E,E01000465,1135,6,35,0.005649718,0.032956685
Bexley 002F,E01000470,1004,13,21,0.012241055,0.019774011
Bexley 003A,E01000333,1169,5,37,0.004708098,0.034839925
Bexley 003B,E01000335,1214,12,58,0.011299435,0.054613936
Bexley 003C,E01000336,1342,9,56,0.008474576,0.052730697
Bexley 003D,E01000337,1212,13,36,0.012241055,0.033898305
Bexley 003E,E01000338,1302,12,45,0.011299435,0.042372881
Bexley 004A,E01000403,1435,7,65,0.006591337,0.061205273
Bexley 004B,E01000404,1585,14,59,0.013182674,0.055555556
Bexley 004C,E01000405,983,5,49,0.004708098,0.04613936
Bexley 004D,E01000408,1185,6,53,0.005649718,0.049905838
Bexley 005A,E01000332,1101,11,36,0.010357815,0.033898305
Bexley 005B,E01000402,1105,5,35,0.004708098,0.032956685
Bexley 005C,E01000406,1170,11,36,0.010357815,0.033898305
Bexley 005D,E01000407,1065,7,46,0.006591337,0.043314501
Bexley 006A,E01000334,1175,7,43,0.006591337,0.040489642
Bexley 006B,E01000417,1238,15,21,0.014124294,0.019774011
Bexley 006C,E01000419,1030,5,24,0.004708098,0.02259887
Bexley 006D,E01000420,1146,9,32,0.008474576,0.030131827
Bexley 006E,E01000442,1132,11,32,0.010357815,0.030131827
Bexley 007A,E01000437,948,10,31,0.009416196,0.029190207
Bexley 007B,E01000438,1167,9,59,0.008474576,0.055555556
Bexley 007C,E01000439,980,10,62,0.009416196,0.058380414
Bexley 007D,E01000440,1051,10,33,0.009416196,0.031073446
Bexley 007E,E01000441,1149,5,41,0.004708098,0.038606403
Bexley 008A,E01000373,1034,7,62,0.006591337,0.058380414
Bexley 008B,E01000429,1161,12,64,0.011299435,0.060263653
Bexley 008C,E01000430,1204,7,30,0.006591337,0.028248588
Bexley 008D,E01000431,1177,8,54,0.007532957,0.050847458
Bexley 008E,E01000432,1106,10,50,0.009416196,0.047080979
Bexley 008F,E01000433,1218,11,37,0.010357815,0.034839925
Bexley 008G,E01000434,1029,9,40,0.008474576,0.037664783
Bexley 009A,E01000356,1077,6,40,0.005649718,0.037664783
Bexley 009B,E01000357,1041,7,36,0.006591337,0.033898305
Bexley 009C,E01000359,953,8,21,0.007532957,0.019774011
Bexley 009D,E01000421,1028,9,17,0.008474576,0.016007533
Bexley 009E,E01000450,1257,6,21,0.005649718,0.019774011
Bexley 009F,E01000451,1245,14,31,0.013182674,0.029190207
Bexley 009G,E01000452,1014,9,41,0.008474576,0.038606403
Bexley 010A,E01000367,1126,11,58,0.010357815,0.054613936
Bexley 010B,E01000368,1056,7,39,0.006591337,0.036723164
Bexley 010C,E01000372,1173,6,58,0.005649718,0.054613936
Bexley 010D,E01000380,1055,10,40,0.009416196,0.037664783
Bexley 010E,E01000435,982,4,29,0.003766478,0.027306968
Bexley 011A,E01000353,1225,5,47,0.004708098,0.044256121
Bexley 011B,E01000354,1085,13,40,0.012241055,0.037664783
Bexley 011C,E01000355,1067,3,41,0.002824859,0.038606403
Bexley 011D,E01000358,1179,13,54,0.012241055,0.050847458
Bexley 011E,E01000436,1224,9,32,0.008474576,0.030131827
Bexley 013A,E01000401,1164,14,40,0.013182674,0.037664783
Bexley 013B,E01000453,1063,10,29,0.009416196,0.027306968
Bexley 013C,E01000454,1143,8,44,0.007532957,0.041431262
Bexley 013D,E01000455,1212,8,46,0.007532957,0.043314501
Bexley 013E,E01000456,1026,7,49,0.006591337,0.04613936
Bexley 014A,E01000325,1187,6,42,0.005649718,0.039548023
Bexley 014B,E01000326,963,5,30,0.004708098,0.028248588
Bexley 014C,E01000369,1241,9,51,0.008474576,0.048022599
Bexley 014D,E01000370,1136,12,47,0.011299435,0.044256121
Bexley 014E,E01000371,1152,5,34,0.004708098,0.032015066
Bexley 015A,E01000360,1192,13,82,0.012241055,0.077212806
Bexley 015B,E01000362,1039,7,63,0.006591337,0.059322034
Bexley 015C,E01000365,1136,5,51,0.004708098,0.048022599
Bexley 015D,E01000366,1180,9,63,0.008474576,0.059322034
Bexley 015E,E01000394,1020,6,48,0.005649718,0.04519774
Bexley 016A,E01000388,1101,5,39,0.004708098,0.036723164
Bexley 016B,E01000392,1165,6,54,0.005649718,0.050847458
Bexley 016C,E01000409,1210,7,47,0.006591337,0.044256121
Bexley 016D,E01000411,1028,4,33,0.003766478,0.031073446
Bexley 016E,E01000414,1209,10,38,0.009416196,0.035781544
Bexley 016F,E01000415,1114,6,29,0.005649718,0.027306968
Bexley 017A,E01000327,1105,9,35,0.008474576,0.032956685
Bexley 017B,E01000328,1100,11,46,0.010357815,0.043314501
Bexley 017C,E01000329,950,8,62,0.007532957,0.058380414
Bexley 017D,E01000330,1086,7,61,0.006591337,0.057438795
Bexley 017E,E01000331,1117,3,57,0.002824859,0.053672316
Bexley 018A,E01000340,1077,6,38,0.005649718,0.035781544
Bexley 018B,E01000395,1067,6,17,0.005649718,0.016007533
Bexley 018C,E01000396,1026,11,40,0.010357815,0.037664783
Bexley 018D,E01000410,1152,10,44,0.009416196,0.041431262
Bexley 018E,E01000412,1194,13,22,0.012241055,0.020715631
Bexley 018F,E01000413,966,8,27,0.007532957,0.025423729
Bexley 019A,E01000374,997,10,37,0.009416196,0.034839925
Bexley 019B,E01000375,1078,7,50,0.006591337,0.047080979
Bexley 019C,E01000376,1085,7,38,0.006591337,0.035781544
Bexley 019D,E01000377,1052,6,39,0.005649718,0.036723164
Bexley 019E,E01000378,1535,9,96,0.008474576,0.09039548
Bexley 019F,E01000379,1184,7,39,0.006591337,0.036723164
Bexley 020A,E01000348,1085,8,26,0.007532957,0.024482109
Bexley 020B,E01000349,1144,15,21,0.014124294,0.019774011
Bexley 020C,E01000361,1145,7,53,0.006591337,0.049905838
Bexley 020D,E01000363,1091,6,43,0.005649718,0.040489642
Bexley 020E,E01000389,1216,7,46,0.006591337,0.043314501
Bexley 020F,E01000390,935,13,21,0.012241055,0.019774011
Bexley 020G,E01000393,1199,8,53,0.007532957,0.049905838
Bexley 021A,E01000346,1154,7,44,0.006591337,0.041431262
Bexley 021B,E01000347,1076,9,45,0.008474576,0.042372881
Bexley 021C,E01000350,1109,9,47,0.008474576,0.044256121
Bexley 021D,E01000352,1130,9,38,0.008474576,0.035781544
Bexley 021E,E01000391,1249,12,50,0.011299435,0.047080979
Bexley 022A,E01000341,1047,10,47,0.009416196,0.044256121
Bexley 022B,E01000342,1191,15,42,0.014124294,0.039548023
Bexley 022C,E01000343,1098,9,41,0.008474576,0.038606403
Bexley 022D,E01000345,1001,3,34,0.002824859,0.032015066
Bexley 022E,E01000460,1075,6,42,0.005649718,0.039548023
Bexley 023A,E01000364,1134,5,43,0.004708098,0.040489642
Bexley 023B,E01000444,1190,5,26,0.004708098,0.024482109
Bexley 023C,E01000447,1102,11,43,0.010357815,0.040489642
Bexley 023D,E01000448,939,10,27,0.009416196,0.025423729
Bexley 023E,E01000449,1002,5,28,0.004708098,0.026365348
Bexley 024A,E01000351,1176,11,34,0.010357815,0.032015066
Bexley 024B,E01000443,908,13,24,0.012241055,0.02259887
Bexley 024C,E01000445,1169,7,32,0.006591337,0.030131827
Bexley 024D,E01000446,1174,13,37,0.012241055,0.034839925
Bexley 024E,E01000461,1255,10,45,0.009416196,0.042372881
Bexley 025A,E01000339,1085,13,35,0.012241055,0.032956685
Bexley 025B,E01000344,1132,19,42,0.017890772,0.039548023
Bexley 025C,E01000423,1154,6,33,0.005649718,0.031073446
Bexley 025D,E01000425,1201,14,36,0.013182674,0.033898305
Bexley 025E,E01000463,920,11,36,0.010357815,0.033898305
Bexley 026A,E01000424,1280,10,50,0.009416196,0.047080979
Bexley 026B,E01000426,1233,15,55,0.014124294,0.051789077
Bexley 026C,E01000427,1350,14,53,0.013182674,0.049905838
Bexley 026D,E01000457,1311,13,85,0.012241055,0.080037665
Bexley 026E,E01000462,1135,6,68,0.005649718,0.064030132
Bexley 027A,E01000382,1096,16,43,0.015065913,0.040489642
Bexley 027B,E01000384,1222,10,60,0.009416196,0.056497175
Bexley 027C,E01000387,1095,12,28,0.011299435,0.026365348
Bexley 027D,E01000428,1248,8,80,0.007532957,0.075329567
Bexley 027E,E01000458,1046,14,40,0.013182674,0.037664783
Bexley 027F,E01000459,1168,5,75,0.004708098,0.070621469
Bexley 028A,E01000381,1104,13,44,0.012241055,0.041431262
Bexley 028B,E01000383,1088,14,32,0.013182674,0.030131827
Bexley 028C,E01000385,1270,10,44,0.009416196,0.041431262
Bexley 028D,E01000386,984,3,56,0.002824859,0.052730697
Bexley 029A,E01000398,1132,7,33,0.006591337,0.031073446
Bexley 029B,E01000399,1136,6,31,0.005649718,0.029190207
Bexley 029C,E01000400,1109,7,38,0.006591337,0.035781544
Bexley 029D,E01032566,1212,10,42,0.009416196,0.039548023
Brent 001A,E01000587,1231,6,60,0.005649718,0.056497175
Brent 001B,E01000589,1466,5,67,0.004708098,0.063088512
Brent 001C,E01000590,1329,5,58,0.004708098,0.054613936
Brent 001D,E01000592,1244,9,47,0.008474576,0.044256121
Brent 001E,E01000593,1590,3,40,0.002824859,0.037664783
Brent 001F,E01000594,1266,0,47,0,0.044256121
Brent 002A,E01000513,1212,6,46,0.005649718,0.043314501
Brent 002B,E01000514,1130,6,26,0.005649718,0.024482109
Brent 002C,E01000516,1304,9,50,0.008474576,0.047080979
Brent 002D,E01000520,1196,13,38,0.012241055,0.035781544
Brent 002E,E01000588,1568,5,78,0.004708098,0.073446328
Brent 003A,E01000515,1252,8,52,0.007532957,0.048964218
Brent 003B,E01000517,1208,3,43,0.002824859,0.040489642
Brent 003E,E01000543,1213,4,28,0.003766478,0.026365348
Brent 003F,E01000591,1582,6,68,0.005649718,0.064030132
Brent 003G,E01033463,2168,7,61,0.006591337,0.057438795
Brent 004A,E01000536,1219,7,40,0.006591337,0.037664783
Brent 004B,E01000538,1168,8,34,0.007532957,0.032015066
Brent 004C,E01000539,1153,4,22,0.003766478,0.020715631
Brent 004D,E01000540,1138,2,34,0.001883239,0.032015066
Brent 004E,E01000541,1043,8,44,0.007532957,0.041431262
Brent 005A,E01000518,1202,9,35,0.008474576,0.032956685
Brent 005B,E01000519,1387,12,48,0.011299435,0.04519774
Brent 005C,E01000623,1304,9,27,0.008474576,0.025423729
Brent 005D,E01000624,1205,1,27,0.00094162,0.025423729
Brent 005E,E01000629,1466,9,33,0.008474576,0.031073446
Brent 006A,E01000480,1332,4,34,0.003766478,0.032015066
Brent 006B,E01000484,886,0,30,0,0.028248588
Brent 006C,E01000485,1026,3,24,0.002824859,0.02259887
Brent 006D,E01000486,1259,6,29,0.005649718,0.027306968
Brent 006E,E01000487,1398,7,41,0.006591337,0.038606403
Brent 007A,E01000572,1090,13,30,0.012241055,0.028248588
Brent 007B,E01000573,1151,4,36,0.003766478,0.033898305
Brent 007C,E01000574,991,10,28,0.009416196,0.026365348
Brent 007D,E01000575,1416,9,45,0.008474576,0.042372881
Brent 007E,E01000577,1681,11,53,0.010357815,0.049905838
Brent 008A,E01000562,1175,4,41,0.003766478,0.038606403
Brent 008B,E01000563,1142,5,34,0.004708098,0.032015066
Brent 008C,E01000566,1170,6,32,0.005649718,0.030131827
Brent 008D,E01000568,1962,16,398,0.015065913,0.374764595
Brent 008E,E01000569,1203,16,31,0.015065913,0.029190207
Brent 009A,E01000479,1231,4,33,0.003766478,0.031073446
Brent 009B,E01000481,1154,7,34,0.006591337,0.032015066
Brent 009C,E01000482,2030,4,87,0.003766478,0.081920904
Brent 009D,E01000483,1226,2,32,0.001883239,0.030131827
Brent 009E,E01000625,1091,10,25,0.009416196,0.02354049
Brent 010B,E01000498,1130,4,48,0.003766478,0.04519774
Brent 010D,E01000622,1204,8,36,0.007532957,0.033898305
Brent 010E,E01000626,1053,7,43,0.006591337,0.040489642
Brent 010F,E01033464,2045,12,97,0.011299435,0.0913371
Brent 011A,E01000497,1307,8,37,0.007532957,0.034839925
Brent 011B,E01000499,1189,12,43,0.011299435,0.040489642
Brent 011C,E01000501,1286,8,44,0.007532957,0.041431262
Brent 011D,E01000502,972,12,37,0.011299435,0.034839925
Brent 011E,E01000503,1452,24,49,0.02259887,0.04613936
Brent 012A,E01000570,1181,9,72,0.008474576,0.06779661
Brent 012B,E01000571,1269,4,61,0.003766478,0.057438795
Brent 012C,E01000576,1244,5,44,0.004708098,0.041431262
Brent 012D,E01000578,1323,12,58,0.011299435,0.054613936
Brent 013A,E01000564,1195,2,43,0.001883239,0.040489642
Brent 013B,E01000565,1109,4,26,0.003766478,0.024482109
Brent 013C,E01000607,1661,16,43,0.015065913,0.040489642
Brent 013D,E01000608,1659,10,53,0.009416196,0.049905838
Brent 013E,E01000613,1278,10,41,0.009416196,0.038606403
Brent 014A,E01000506,1248,20,38,0.018832392,0.035781544
Brent 014B,E01000509,1080,8,46,0.007532957,0.043314501
Brent 014C,E01000510,1226,19,36,0.017890772,0.033898305
Brent 014D,E01000511,1161,26,27,0.024482109,0.025423729
Brent 014E,E01000627,1372,10,69,0.009416196,0.064971751
Brent 014F,E01000628,1387,19,43,0.017890772,0.040489642
Brent 015A,E01000553,1649,37,85,0.034839925,0.080037665
Brent 015B,E01000554,1391,36,60,0.033898305,0.056497175
Brent 015C,E01000555,1132,17,40,0.016007533,0.037664783
Brent 015D,E01000556,1544,28,58,0.026365348,0.054613936
Brent 015E,E01000557,1535,34,56,0.032015066,0.052730697
Brent 015F,E01000558,1235,25,45,0.02354049,0.042372881
Brent 016A,E01000567,1008,7,29,0.006591337,0.027306968
Brent 016B,E01000606,1250,6,36,0.005649718,0.033898305
Brent 016C,E01000609,1530,12,37,0.011299435,0.034839925
Brent 016D,E01000611,1100,6,26,0.005649718,0.024482109
Brent 017B,E01000615,1224,13,63,0.012241055,0.059322034
Brent 017C,E01000617,1343,11,78,0.010357815,0.073446328
Brent 017D,E01000618,1169,10,53,0.009416196,0.049905838
Brent 017E,E01000619,1243,3,57,0.002824859,0.053672316
Brent 017F,E01033424,1207,10,43,0.009416196,0.040489642
Brent 017G,E01033457,1327,8,81,0.007532957,0.076271186
Brent 018A,E01000504,1362,48,45,0.04519774,0.042372881
Brent 018B,E01000505,1260,28,32,0.026365348,0.030131827
Brent 018C,E01000507,1255,27,56,0.025423729,0.052730697
Brent 018D,E01000512,1372,33,58,0.031073446,0.054613936
Brent 018E,E01000559,1212,37,50,0.034839925,0.047080979
Brent 019A,E01000610,1410,10,59,0.009416196,0.055555556
Brent 019B,E01000612,1259,9,49,0.008474576,0.04613936
Brent 019C,E01000631,1466,9,93,0.008474576,0.087570621
Brent 019D,E01000633,1548,17,148,0.016007533,0.139359699
Brent 019E,E01000634,1751,14,115,0.013182674,0.108286252
Brent 020A,E01000616,1372,8,107,0.007532957,0.100753296
Brent 020B,E01000620,1315,13,78,0.012241055,0.073446328
Brent 020C,E01000621,1362,15,77,0.014124294,0.072504708
Brent 020D,E01000635,1879,15,133,0.014124294,0.125235405
Brent 020E,E01000636,1415,12,81,0.011299435,0.076271186
Brent 021A,E01000596,1139,13,57,0.012241055,0.053672316
Brent 021B,E01000601,969,7,39,0.006591337,0.036723164
Brent 021C,E01000602,1064,7,44,0.006591337,0.041431262
Brent 021D,E01000603,1041,21,52,0.019774011,0.048964218
Brent 021E,E01000604,1224,8,47,0.007532957,0.044256121
Brent 021F,E01000605,1131,13,66,0.012241055,0.062146893
Brent 022A,E01000488,1177,25,71,0.02354049,0.066854991
Brent 022B,E01000637,1308,32,41,0.030131827,0.038606403
Brent 022C,E01000639,1462,48,30,0.04519774,0.028248588
Brent 022D,E01000642,1734,35,77,0.032956685,0.072504708
Brent 022E,E01000644,1482,41,53,0.038606403,0.049905838
Brent 023A,E01000490,1346,56,51,0.052730697,0.048022599
Brent 023B,E01000494,1379,36,41,0.033898305,0.038606403
Brent 023C,E01000495,1287,39,50,0.036723164,0.047080979
Brent 023D,E01000560,1349,47,33,0.044256121,0.031073446
Brent 023E,E01000561,1423,39,47,0.036723164,0.044256121
Brent 024A,E01000638,1469,14,55,0.013182674,0.051789077
Brent 024B,E01000640,1631,28,80,0.026365348,0.075329567
Brent 024C,E01000641,1465,28,50,0.026365348,0.047080979
Brent 024D,E01000643,1523,23,69,0.02165725,0.064971751
Brent 025A,E01000508,1375,19,62,0.017890772,0.058380414
Brent 025B,E01000521,1579,31,83,0.029190207,0.078154426
Brent 025C,E01000522,1317,33,67,0.031073446,0.063088512
Brent 025D,E01000526,1580,13,99,0.012241055,0.093220339
Brent 025E,E01000527,1495,37,78,0.034839925,0.073446328
Brent 025F,E01000528,1069,11,46,0.010357815,0.043314501
Brent 026A,E01000471,1251,22,120,0.020715631,0.11299435
Brent 026B,E01000474,1496,9,146,0.008474576,0.13747646
Brent 026C,E01000476,1263,12,95,0.011299435,0.089453861
Brent 026D,E01000477,1422,18,136,0.016949153,0.128060264
Brent 026E,E01000630,1727,10,110,0.009416196,0.103578154
Brent 027A,E01000595,1128,14,41,0.013182674,0.038606403
Brent 027D,E01000599,926,8,51,0.007532957,0.048022599
Brent 027E,E01000600,1429,15,54,0.014124294,0.050847458
Brent 027F,E01033456,1491,11,64,0.010357815,0.060263653
Brent 028A,E01000545,1547,68,95,0.064030132,0.089453861
Brent 028B,E01000546,1329,65,78,0.061205273,0.073446328
Brent 028C,E01000547,1412,60,86,0.056497175,0.080979284
Brent 028D,E01000548,1739,72,81,0.06779661,0.076271186
Brent 028E,E01000549,1564,100,82,0.094161959,0.077212806
Brent 029A,E01000472,1078,16,85,0.015065913,0.080037665
Brent 029B,E01000473,1491,15,169,0.014124294,0.15913371
Brent 029C,E01000475,1518,16,99,0.015065913,0.093220339
Brent 029D,E01000478,1279,7,125,0.006591337,0.117702448
Brent 029E,E01000632,1606,11,169,0.010357815,0.15913371
Brent 030A,E01000489,1160,35,45,0.032956685,0.042372881
Brent 030B,E01000491,1465,51,55,0.048022599,0.051789077
Brent 030C,E01000492,1001,36,54,0.033898305,0.050847458
Brent 030D,E01000493,1241,48,53,0.04519774,0.049905838
Brent 030E,E01000581,1172,77,45,0.072504708,0.042372881
Brent 031A,E01000523,1887,44,85,0.041431262,0.080037665
Brent 031B,E01000524,1796,34,115,0.032015066,0.108286252
Brent 031C,E01000525,1447,38,80,0.035781544,0.075329567
Brent 031E,E01000533,1676,42,84,0.039548023,0.079096045
Brent 031F,E01000535,1675,70,79,0.065913371,0.074387947
Brent 031G,E01033455,902,20,45,0.018832392,0.042372881
Brent 031H,E01033485,1481,22,62,0.020715631,0.058380414
Brent 032A,E01000579,1338,71,68,0.066854991,0.064030132
Brent 032B,E01000580,1500,75,75,0.070621469,0.070621469
Brent 032C,E01000582,1392,88,64,0.082862524,0.060263653
Brent 032D,E01000583,1856,108,86,0.101694915,0.080979284
Brent 032E,E01000586,2012,107,123,0.100753296,0.115819209
Brent 033A,E01000530,1438,64,69,0.060263653,0.064971751
Brent 033B,E01000531,1619,72,85,0.06779661,0.080037665
Brent 033C,E01000532,1313,54,81,0.050847458,0.076271186
Brent 033D,E01000534,1325,62,55,0.058380414,0.051789077
Brent 033E,E01000584,1282,57,58,0.053672316,0.054613936
Brent 033F,E01000585,1379,56,74,0.052730697,0.069679849
Brent 034A,E01000544,1329,38,57,0.035781544,0.053672316
Brent 034B,E01000550,1529,48,76,0.04519774,0.071563089
Brent 034C,E01000551,1520,41,87,0.038606403,0.081920904
Brent 034D,E01000552,1263,16,58,0.015065913,0.054613936
Bromley 001A,E01000779,929,6,34,0.005649718,0.032015066
Bromley 001B,E01000780,1058,5,32,0.004708098,0.030131827
Bromley 001C,E01000781,998,5,25,0.004708098,0.02354049
Bromley 001D,E01000782,979,6,25,0.005649718,0.02354049
Bromley 001E,E01000783,1019,4,31,0.003766478,0.029190207
Bromley 001F,E01000785,974,12,37,0.011299435,0.034839925
Bromley 002A,E01000689,974,8,41,0.007532957,0.038606403
Bromley 002B,E01000690,1014,16,37,0.015065913,0.034839925
Bromley 002C,E01000691,1043,9,47,0.008474576,0.044256121
Bromley 002D,E01000692,1162,13,68,0.012241055,0.064030132
Bromley 002E,E01000784,1095,10,33,0.009416196,0.031073446
Bromley 004A,E01000799,1255,33,67,0.031073446,0.063088512
Bromley 004B,E01000802,1326,36,51,0.033898305,0.048022599
Bromley 004C,E01000803,1200,34,37,0.032015066,0.034839925
Bromley 004D,E01000804,1055,17,48,0.016007533,0.04519774
Bromley 004E,E01000805,1156,19,57,0.017890772,0.053672316
Bromley 005A,E01000740,1339,22,63,0.020715631,0.059322034
Bromley 005B,E01000741,1289,34,37,0.032015066,0.034839925
Bromley 005C,E01000742,1608,45,49,0.042372881,0.04613936
Bromley 005D,E01000745,1370,46,35,0.043314501,0.032956685
Bromley 005E,E01000746,1466,32,67,0.030131827,0.063088512
Bromley 006A,E01000709,988,14,27,0.013182674,0.025423729
Bromley 006B,E01000710,1296,16,41,0.015065913,0.038606403
Bromley 006C,E01000711,1390,19,37,0.017890772,0.034839925
Bromley 006D,E01000714,1500,25,59,0.02354049,0.055555556
Bromley 006E,E01000718,1514,24,42,0.02259887,0.039548023
Bromley 007A,E01000645,996,7,17,0.006591337,0.016007533
Bromley 007B,E01000649,1387,7,22,0.006591337,0.020715631
Bromley 007C,E01000694,1069,3,12,0.002824859,0.011299435
Bromley 007D,E01000695,1047,12,20,0.011299435,0.018832392
Bromley 007E,E01000696,1000,4,28,0.003766478,0.026365348
Bromley 007F,E01000697,1211,12,17,0.011299435,0.016007533
Bromley 008A,E01000674,1174,12,87,0.011299435,0.081920904
Bromley 008B,E01000676,1293,16,150,0.015065913,0.141242938
Bromley 008C,E01000820,1017,12,45,0.011299435,0.042372881
Bromley 008D,E01000822,1196,19,83,0.017890772,0.078154426
Bromley 008E,E01000823,1295,23,98,0.02165725,0.092278719
Bromley 008F,E01000824,900,16,78,0.015065913,0.073446328
Bromley 008G,E01000825,1189,14,99,0.013182674,0.093220339
Bromley 009A,E01000743,1300,17,66,0.016007533,0.062146893
Bromley 009B,E01000744,1072,3,32,0.002824859,0.030131827
Bromley 009C,E01000796,1157,6,75,0.005649718,0.070621469
Bromley 009D,E01000798,1112,9,80,0.008474576,0.075329567
Bromley 009E,E01000800,1238,8,51,0.007532957,0.048022599
Bromley 009F,E01000806,1262,24,56,0.02259887,0.052730697
Bromley 010A,E01000693,1019,5,37,0.004708098,0.034839925
Bromley 010B,E01000698,875,3,10,0.002824859,0.009416196
Bromley 010C,E01000736,1068,11,26,0.010357815,0.024482109
Bromley 010D,E01000737,925,3,24,0.002824859,0.02259887
Bromley 011A,E01000672,1093,18,70,0.016949153,0.065913371
Bromley 011B,E01000673,1118,18,46,0.016949153,0.043314501
Bromley 011C,E01000716,1104,13,41,0.012241055,0.038606403
Bromley 011D,E01000717,1295,11,39,0.010357815,0.036723164
Bromley 011E,E01000828,1131,13,59,0.012241055,0.055555556
Bromley 012A,E01000712,1297,11,27,0.010357815,0.025423729
Bromley 012B,E01000713,1338,17,51,0.016007533,0.048022599
Bromley 012C,E01000715,1236,16,45,0.015065913,0.042372881
Bromley 012D,E01000770,998,9,48,0.008474576,0.04519774
Bromley 012E,E01000772,1016,13,23,0.012241055,0.02165725
Bromley 013A,E01000700,1147,15,37,0.014124294,0.034839925
Bromley 013B,E01000702,1031,20,49,0.018832392,0.04613936
Bromley 013C,E01000703,1193,18,45,0.016949153,0.042372881
Bromley 013D,E01000706,968,14,43,0.013182674,0.040489642
Bromley 013E,E01000797,1210,17,49,0.016007533,0.04613936
Bromley 014A,E01000729,1238,10,43,0.009416196,0.040489642
Bromley 014B,E01000730,1143,6,58,0.005649718,0.054613936
Bromley 014C,E01000735,1034,5,37,0.004708098,0.034839925
Bromley 014D,E01000738,1055,4,60,0.003766478,0.056497175
Bromley 014E,E01000739,995,8,52,0.007532957,0.048964218
Bromley 015A,E01000699,1096,16,52,0.015065913,0.048964218
Bromley 015B,E01000701,1028,11,30,0.010357815,0.028248588
Bromley 015C,E01000704,1039,8,36,0.007532957,0.033898305
Bromley 015D,E01000705,982,22,40,0.020715631,0.037664783
Bromley 015E,E01000801,1052,11,59,0.010357815,0.055555556
Bromley 016A,E01000646,1163,11,88,0.010357815,0.082862524
Bromley 016B,E01000647,1154,9,112,0.008474576,0.105461394
Bromley 016C,E01000648,1245,15,84,0.014124294,0.079096045
Bromley 016D,E01000653,1093,10,46,0.009416196,0.043314501
Bromley 016E,E01000678,1239,10,105,0.009416196,0.098870056
Bromley 018A,E01000670,1461,9,106,0.008474576,0.099811676
Bromley 018B,E01000675,1226,22,116,0.020715631,0.109227872
Bromley 018C,E01000677,1325,18,97,0.016949153,0.0913371
Bromley 018D,E01000762,1156,16,61,0.015065913,0.057438795
Bromley 018E,E01000829,1264,16,115,0.015065913,0.108286252
Bromley 019A,E01000719,1330,17,61,0.016007533,0.057438795
Bromley 019B,E01000720,1143,2,50,0.001883239,0.047080979
Bromley 019C,E01000721,897,2,49,0.001883239,0.04613936
Bromley 019D,E01000724,1130,13,58,0.012241055,0.054613936
Bromley 019E,E01000728,1071,9,36,0.008474576,0.033898305
Bromley 020A,E01000651,1079,22,42,0.020715631,0.039548023
Bromley 020B,E01000668,1193,19,96,0.017890772,0.09039548
Bromley 020C,E01000669,1194,9,58,0.008474576,0.054613936
Bromley 020D,E01000671,1264,17,89,0.016007533,0.083804143
Bromley 020E,E01000679,1188,11,90,0.010357815,0.084745763
Bromley 021A,E01000826,1163,9,33,0.008474576,0.031073446
Bromley 021B,E01000827,1196,15,44,0.014124294,0.041431262
Bromley 021C,E01000830,1089,6,33,0.005649718,0.031073446
Bromley 021D,E01000831,1158,7,51,0.006591337,0.048022599
Bromley 021E,E01000833,998,3,32,0.002824859,0.030131827
Bromley 022A,E01000650,1315,6,33,0.005649718,0.031073446
Bromley 022B,E01000652,1158,11,44,0.010357815,0.041431262
Bromley 022C,E01000807,1098,6,45,0.005649718,0.042372881
Bromley 022D,E01000809,1053,5,32,0.004708098,0.030131827
Bromley 023A,E01000722,1173,6,72,0.005649718,0.06779661
Bromley 023B,E01000725,1174,8,73,0.007532957,0.06873823
Bromley 023C,E01000731,940,9,35,0.008474576,0.032956685
Bromley 023D,E01000732,1052,6,38,0.005649718,0.035781544
Bromley 023E,E01000733,1138,7,47,0.006591337,0.044256121
Bromley 024A,E01000769,1063,16,38,0.015065913,0.035781544
Bromley 024B,E01000773,1006,11,42,0.010357815,0.039548023
Bromley 024C,E01000775,1547,21,35,0.019774011,0.032956685
Bromley 024D,E01000777,1098,15,47,0.014124294,0.044256121
Bromley 024E,E01000778,1122,11,37,0.010357815,0.034839925
Bromley 025A,E01000808,1115,5,45,0.004708098,0.042372881
Bromley 025B,E01000810,1078,4,24,0.003766478,0.02259887
Bromley 025C,E01000811,979,7,31,0.006591337,0.029190207
Bromley 025D,E01000813,1118,5,37,0.004708098,0.034839925
Bromley 025E,E01000815,1105,9,27,0.008474576,0.025423729
Bromley 026A,E01000661,1108,12,49,0.011299435,0.04613936
Bromley 026B,E01000662,1220,10,50,0.009416196,0.047080979
Bromley 026C,E01000663,1104,11,33,0.010357815,0.031073446
Bromley 026D,E01000664,1136,7,48,0.006591337,0.04519774
Bromley 027A,E01000763,1047,11,36,0.010357815,0.033898305
Bromley 027B,E01000764,1122,14,46,0.013182674,0.043314501
Bromley 027C,E01000766,1213,13,32,0.012241055,0.030131827
Bromley 027D,E01000767,1144,10,39,0.009416196,0.036723164
Bromley 027E,E01000834,956,7,42,0.006591337,0.039548023
Bromley 028A,E01000727,1114,9,77,0.008474576,0.072504708
Bromley 028B,E01000734,945,7,45,0.006591337,0.042372881
Bromley 028C,E01000790,1481,7,104,0.006591337,0.097928437
